#fileName	intercept	slope	chi2/ndof
20751	-0.0000230015	0.0000007587	1.0603146485
20752	-0.0000234484	0.0000007696	2.6210682264
20753	-0.0000232564	0.0000007622	1.7831314382
20754	-0.0000235684	0.0000007689	1.3819079037
20755	-0.0000235929	0.0000007717	1.2585874757
20756	-0.0000237809	0.0000007743	0.8367825440
20757	-0.0000234877	0.0000007642	1.0924205950
20758	-0.0000233605	0.0000007558	0.8614311591
20759	-0.0000232925	0.0000007537	1.5333697646
20760	-0.0000236812	0.0000007642	1.6953519543
20761	-0.0000236381	0.0000007654	1.5092830621
20762	-0.0000237853	0.0000007657	3.2387354490
20763	-0.0006565319	0.0000210000	11.3714092598
20764	-0.0000236846	0.0000007589	1.7976663544
20765	-0.0000240996	0.0000007664	2.0614093819
20766	-0.0000238501	0.0000007569	1.5944137129
20767	-0.0000240949	0.0000007623	2.0358782218
20768	-0.0000245115	0.0000007740	2.1886324338
20769	-0.0000226349	0.0000007645	2.3398859843
20770	-0.0000231085	0.0000007748	1.8725952939
20771	-0.0000229702	0.0000007733	1.6242226539
20772	-0.0000226318	0.0000007596	2.2193614078
20773	-0.0000231872	0.0000007734	1.3743082685
20774	-0.0000228253	0.0000007610	1.8596135108
20775	-0.0000227366	0.0000007567	2.4513354004
20776	-0.0000228165	0.0000007541	1.5658780800
20777	-0.0000228641	0.0000007554	1.4944512792
20778	-0.0000235806	0.0000007768	0.9710721953
20779	-0.0000234356	0.0000007702	1.4629700313
20780	-0.0000234595	0.0000007697	1.3908816613
20781	-0.0000234538	0.0000007649	1.0834722387
20782	-0.0000236148	0.0000007681	2.4291519914
20783	-0.0000231619	0.0000007528	2.0422584258
20784	-0.0000235110	0.0000007608	1.7827541001
20785	-0.0000237205	0.0000007671	1.3298463642
20786	-0.0000233025	0.0000007536	1.1411169101
20787	-0.0000238817	0.0000007676	2.3142322111
20788	-0.0000237748	0.0000007652	2.0234573990
20789	-0.0000223603	0.0000007673	2.1387194981
20792	-0.0000234678	0.0000007902	2.1619634282
20793	-0.0000229787	0.0000007783	1.9632815864
20794	-0.0000232033	0.0000007799	1.8907757696
20795	-0.0000234664	0.0000007841	1.1960336056
20796	-0.0000230659	0.0000007704	1.4982925153
20797	-0.0000232983	0.0000007771	1.7561103410
20798	-0.0000233009	0.0000007770	1.1628392169
20799	-0.0000236982	0.0000007869	2.0992254941
20800	-0.0000232923	0.0000007710	1.6047516667
20801	-0.0000235431	0.0000007763	1.5839988560
